,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
CHL,0,0,0,0,2,124,4,64,38,0,0,56,0,0,0,4,0,0,0,0,0,0,4,152,0,0,0,0,0,108,32,0,36,0,0,0,0,0,22,0,0,4,20,2,12,276,0,38,8,2,2,4,0,266,0,0,22,0,282,0,0,190,0,2,0,0,0,0,4,0,0,2,0,0,0,2,0,8,2,20,0,0,0,2,34,82,0,0,36,4,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,60,4,4,18,0,0,0,18,6,0,0,14,0,30,2,0,0,0,42,0,2,0,0,8,0,0,0,0,0,0,0,0,8,0,40,0,0,0,0,0,8,0,0,0,0,0,6,4,0,0,16,20,794,0,0,0,24,0,0,0,2,20,0,0
CHN,0,0,0,0,4,62,4,824,148,0,0,176,0,0,4,68,0,0,0,10,0,0,0,154,0,4,0,0,0,880,276,36,0,8,2,0,0,0,40,0,0,2,2,62,46,1428,0,172,4,2,34,14,0,262,4,2,158,0,700,0,0,1612,2,4,0,0,0,0,64,0,0,2,0,0,0,8,0,100,8,244,26,8,0,2,136,464,2,0,2234,2,18,0,0,0,464,6,2,2,0,0,0,16,0,0,2,2,2,2,0,0,0,90,0,4,0,2,0,8,0,0,0,2,0,138,0,0,0,8,0,318,66,2,118,0,28,0,10,62,0,4,116,4,52,0,0,0,76,364,0,18,0,0,606,0,2,2,0,0,0,0,0,12,12,290,0,0,0,0,0,46,0,0,0,0,2,12,498,2,0,32,2,5020,0,0,0,4,18,0,0,2,66,0,4
CIV,0,0,0,0,0,6,0,4,0,0,0,22,12,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,40,0,8,0,14,2,4,0,0,0,2,2,0,0,0,22,0,2,0,0,0,0,0,4,0,2,2,0,118,0,0,16,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,8,2,0,0,0,0,0,6,0,0,4,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,6,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,6,0,0,50,0,0,0,0,0,0,0,0,8,0,6
CMR,0,0,0,0,0,0,0,4,2,0,0,28,6,4,0,0,0,0,0,0,0,0,0,4,2,0,0,6,4,8,6,0,2,14,0,2,2,0,0,0,0,0,0,0,0,12,0,4,0,0,0,2,0,2,0,4,2,0,140,0,18,44,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,14,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,10,0,10,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,50,0,0,0,0,0,0,0,0,8,4,4
COD,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,2,2,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,2,2
COG,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,8,0,0
COK,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,2,72,0,14,4,0,0,16,0,4,0,2,0,0,0,0,0,0,4,136,0,0,0,0,0,22,38,22,40,0,0,0,0,0,0,0,0,6,14,2,18,54,0,6,2,4,44,2,0,122,0,4,6,0,100,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,42,0,0,0,6,8,24,0,0,22,0,2,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,40,6,4,4,2,6,0,18,4,0,4,50,0,6,2,0,0,0,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,4,0,0,0,0,2,2,2,2,2,2,6,340,0,0,0,38,0,0,0,2,8,0,0
COM,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
CRI,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,12,2,4,2,2,0,0,0,0,6,0,0,0,0,2,0,16,0,2,4,0,2,0,0,16,0,0,2,0,54,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,2,0,0,0,0,4,12,2,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,2,134,0,0,0,6,0,0,0,0,2,0,0
CUB,0,0,0,0,0,28,0,2,4,0,0,44,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,20,10,20,2,0,0,0,0,0,14,0,0,0,0,0,0,40,0,0,0,0,0,0,0,160,0,0,4,0,30,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,54,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,4,0,2,0,0,0,2,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,10,0,0,0,0,2,0,0
CYP,0,0,0,0,2,2,0,6,0,0,0,4,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,2,62,0,0,0,0,0,2,0,0,2,0,0,0,68,0,4,2,0,0,0,0,62,4,0,56,0,70,0,0,54,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,58,0,58,2,6,0,0,4,90,0,4,6,0,0,0,0,0,56,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,64,2,0,2,0,0,0,0,2,0,0,8,0,2,0,0,0,58,58,0,4,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,2,58,0,0,2,0,110,0,0,0,2,0,0,0,4,2,0,0
CZE,0,0,0,0,0,34,22,48,256,0,0,220,0,0,0,40,0,0,0,22,0,0,0,118,0,0,0,0,0,192,278,12,46,0,0,0,0,0,18,0,0,0,0,0,0,970,0,140,0,2,10,14,0,226,10,0,122,0,674,0,0,582,6,0,0,0,0,0,108,0,0,0,0,0,0,14,0,68,2,48,10,6,0,8,40,378,0,0,296,4,4,0,0,0,28,2,0,0,0,0,0,0,0,14,0,6,12,0,2,0,0,64,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,274,110,0,10,0,2,4,0,0,0,0,318,0,98,0,0,0,42,404,0,6,0,0,4,0,0,0,0,0,0,0,0,366,94,268,0,0,2,0,0,6,0,0,0,0,0,16,10,0,0,98,6,868,0,0,0,2,6,0,0,10,8,0,6
DEU,0,8,0,2,8,320,118,1394,2532,10,0,1762,12,4,18,402,4,0,8,250,0,0,6,840,4,2,0,6,2,2124,4356,276,1428,22,12,8,0,0,54,0,0,16,40,68,970,0,0,1494,0,30,4,214,0,2294,124,22,1146,2,6168,4,30,7584,74,18,4,4,0,0,780,0,0,12,2,0,4,208,0,1058,58,898,342,42,2,34,1354,4228,2,44,2806,16,46,16,0,0,432,28,0,6,2,0,24,16,0,84,54,134,56,6,56,18,0,300,0,36,10,0,6,12,0,0,0,2,2,20,0,2,8,54,6,3566,574,8,288,2,78,16,16,94,0,10,1952,0,486,6,8,0,456,4406,0,8,4,4,102,0,0,0,0,0,0,0,0,476,278,2194,0,0,6,0,2,54,4,2,0,2,14,264,260,24,18,672,18,16728,54,0,0,56,50,2,2,116,362,4,20
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,2,0,34,0,270,294,0,0,348,4,0,6,34,0,0,2,2,0,0,0,150,0,0,0,2,0,416,444,38,172,2,4,0,0,0,6,0,0,2,0,4,140,1494,0,0,0,0,6,12,0,494,44,2,526,0,936,0,2,1830,2,32,0,4,20,0,204,0,24,0,0,0,0,16,0,94,6,54,74,6,4,74,98,710,0,0,282,4,14,0,0,0,30,6,0,4,0,0,0,6,0,34,4,20,6,2,6,4,0,24,0,0,2,0,2,4,4,0,0,0,2,2,2,0,0,8,0,752,618,0,46,0,0,0,4,8,0,2,258,0,176,0,0,0,26,390,0,2,12,4,14,0,0,0,0,0,0,0,0,108,94,1242,0,0,2,0,0,12,0,0,2,0,0,24,16,36,8,44,4,2568,0,0,0,4,2,0,0,4,56,0,8
DOM,0,0,0,0,2,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,4,2,8,4,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,4,0,0,0,0,2,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,2,2,0,0,0,0,0,4,0,0,0,0,0,2,30,0,0,0,0,0,0,0,10,0,0,2,0,404,0,0,22,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
ECU,0,0,0,0,0,40,0,0,2,0,0,4,0,2,2,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,2,2,34,0,0,0,0,0,44,0,0,2,0,0,10,4,0,6,0,0,0,0,0,0,0,0,0,0,60,0,0,72,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,38,0,0,0,0,0,2,0,0,0,0,4,0,0,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,2,0,0,0,18,2,0,2,34,0,4,2,0,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,104,0,0,0,2,0,0,0,0,2,0,0
EGY,0,2,0,0,66,4,2,14,36,0,0,22,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,56,30,4,14,0,2,0,0,0,2,0,0,0,0,0,14,214,0,12,2,0,0,0,0,52,0,0,12,0,42,0,0,140,2,2,0,0,0,0,12,0,0,0,0,0,0,2,0,20,4,22,2,2,0,4,14,58,0,10,136,0,4,0,0,0,10,44,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,36,6,2,0,2,6,0,2,8,0,0,34,0,2,0,0,10,0,12,0,118,0,0,20,0,0,0,0,0,0,0,0,2,2,12,0,0,10,0,0,10,0,0,0,0,4,6,4,0,0,2,0,524,0,0,0,0,2,0,6,0,6,0,2
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ESP,0,4,0,0,0,616,34,274,400,6,0,718,2,2,0,142,0,0,0,36,0,0,12,494,0,0,0,0,2,526,816,266,262,4,2,0,0,0,122,0,0,16,160,62,226,2294,0,494,0,10,0,52,0,0,20,2,414,0,2758,0,0,3022,16,0,0,0,0,0,292,0,0,2,2,0,8,24,0,208,2,152,102,6,4,10,198,2114,0,2,444,2,4,0,0,0,180,4,0,6,0,0,0,0,0,26,16,18,116,2,18,0,0,488,0,4,0,0,0,0,8,0,0,0,0,6,0,4,0,6,4,1068,208,0,50,6,10,8,22,6,0,0,358,0,538,12,0,2,170,658,0,10,2,2,10,0,0,0,0,0,0,0,0,116,108,656,0,2,4,2,0,6,0,0,0,0,16,50,122,22,0,82,50,4494,0,0,0,102,0,0,0,24,72,2,0
EST,0,0,0,0,0,2,0,14,10,0,0,16,0,0,0,2,0,0,0,8,0,0,0,2,0,0,0,0,0,12,22,0,4,0,0,0,0,0,0,0,0,0,0,4,10,124,0,44,0,0,0,0,0,20,0,0,158,0,52,0,0,88,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,6,0,4,4,0,2,2,4,32,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24,2,22,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,2,0,2,0,0,0,0,0,20,0,2,0,0,0,8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,180,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,94,0,0,0,2,0,0,0,4,2,0,0
ETH,0,0,0,0,0,0,0,4,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,16,0,2,2,4,0,0,0,4,0,0,0,0,0,0,22,0,2,0,0,0,0,0,2,0,0,2,0,10,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,2,10,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,22,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,60,0,0,0,0,0,0,2,0,8,2,4
FIN,0,0,0,0,8,28,4,198,180,0,0,276,2,0,2,68,0,0,0,6,0,0,0,94,0,0,0,2,0,332,440,22,158,2,2,0,2,2,6,0,0,2,4,56,122,1146,0,526,6,2,0,12,0,414,158,2,0,0,684,0,0,1186,8,0,0,2,0,0,110,0,0,0,0,0,0,12,0,186,0,76,74,2,0,34,92,564,0,4,302,0,6,0,0,0,80,22,0,2,0,0,0,0,0,34,6,14,6,0,8,0,0,22,0,2,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,616,376,0,44,0,2,0,2,6,0,0,244,0,134,0,0,0,78,636,0,2,0,2,10,0,0,0,0,0,0,0,0,118,106,1222,2,0,0,0,0,16,0,2,0,2,2,18,76,2,6,68,2,2170,0,0,0,8,2,0,0,10,36,2,0
FJI,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
FRA,6,4,2,0,6,396,82,916,822,2,2,2512,32,50,2,254,0,0,0,66,0,2,24,1044,0,0,0,2,14,2294,2730,282,700,118,140,10,26,0,100,0,0,54,30,70,674,6168,0,936,4,404,60,42,2,2758,52,10,684,2,0,0,54,6282,18,12,2,2,0,2,714,0,0,6,46,8,0,90,2,564,76,490,256,46,2,28,692,4248,4,24,1722,12,24,0,0,0,276,10,0,104,0,0,4,6,0,64,40,24,884,26,26,36,0,506,0,20,34,2,10,8,2,8,0,8,6,14,4,68,20,16,0,2108,550,2,150,4,22,2,22,30,0,8,1340,0,676,8,4,0,512,2262,2,18,10,150,44,0,0,2,0,0,0,0,0,246,164,1400,0,0,10,10,12,58,4,0,0,2,440,136,170,12,10,250,56,10620,16,0,0,138,104,2,6,52,224,2,22
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,2,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,54,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
GBR,0,2,0,4,70,334,40,2936,946,18,0,1978,14,12,124,178,6,4,0,102,0,6,20,1036,2,2,0,14,4,3220,2468,190,1612,16,44,4,10,0,160,0,0,14,24,54,582,7584,2,1830,2,22,72,140,4,3022,88,64,1186,4,6282,2,12,15652,18,82,2,76,2,0,1140,0,6,12,0,0,8,84,0,598,80,804,1216,164,6,84,858,4740,40,62,2758,30,250,0,0,0,430,32,0,40,6,2,2,76,0,64,30,66,24,8,8,26,0,492,0,64,8,16,4,20,10,2,4,20,96,158,2,2,0,88,6,3906,986,30,740,62,126,14,34,56,0,30,1092,0,828,2,4,10,164,1884,4,138,26,38,302,0,2,0,0,0,0,0,0,282,224,2382,0,2,18,0,8,220,2,4,0,24,16,490,212,110,74,294,34,17142,12,0,2,96,72,0,10,80,724,54,84
GEO,0,0,0,0,0,2,2,8,2,0,0,16,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,10,16,0,2,0,0,0,0,0,0,0,0,0,0,0,6,74,0,2,0,0,0,2,0,16,0,0,8,0,18,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,0,14,0,0,2,28,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,54,0,0,0,0,0,0,0,2,0,0,0
GHA,0,0,0,0,0,2,0,6,6,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,10,2,4,0,2,0,0,0,0,0,0,0,0,0,0,18,0,32,0,0,2,2,0,0,0,0,0,0,12,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,6,2,0,16,0,10,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,14,2,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,62,0,0,0,0,0,0,0,0,4,0,2
