,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
CAN,0,0,0,0,1,0,22,28,0,0,415,41,0,0,98,1,7,2,2,2,0,0,0,1,0,0,85,0,0,0,2,0,0,134,26,332,1,7,0,1,14,0,6,1,0,2,18,277,74,0,2,2,6,0,130,6,6,56,0,357,0,0,941,1,6,0,0,0,20,1,1,1,0,0,0,3,0,10,10,57,53,17,0,0,57,151,18,5,91,1,23,2,1,0,1,56,6,1,7,0,0,0,4,1,4,8,1,2,1,0,0,39,0,0,5,0,0,1,0,0,0,3,20,1,0,0,6,0,219,57,2,77,2,13,1,6,7,0,28,43,0,0,5,7,41,1,16,1,4,98,0,1,1,0,0,2,0,1,5,114,0,0,0,0,1,13,0,13,7,39,40,8,11,0,1,2570,0,0,0,3,3,0,0,0,0,68,3,3
CHE,0,0,0,0,0,0,3,13,1,0,107,85,0,0,124,0,4,2,4,0,0,0,0,0,2,1,16,0,0,0,0,0,134,0,11,55,2,1,0,2,7,0,10,2,0,16,12,660,54,0,1,0,27,0,111,8,1,57,0,241,0,0,551,2,3,0,0,0,11,0,1,2,0,2,0,4,0,8,3,52,17,9,1,0,27,159,0,28,45,3,9,0,0,0,0,22,1,1,5,0,0,2,2,0,5,10,1,0,0,1,0,15,1,0,1,0,1,0,0,0,0,0,11,2,0,0,1,1,176,58,3,11,1,1,0,2,3,1,29,16,0,0,0,13,17,0,34,1,1,17,0,0,1,1,8,5,0,7,4,76,0,0,0,0,0,5,0,0,1,12,7,10,3,1,0,631,0,1,0,0,2,0,0,0,0,56,2,4
CHL,0,0,0,0,0,0,1,33,0,0,26,4,0,0,11,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,1,0,26,11,0,13,0,1,0,0,19,0,2,3,0,0,1,56,8,0,0,1,0,0,123,4,3,3,1,21,0,0,67,1,0,0,0,0,3,0,0,0,0,0,1,1,0,1,1,15,4,1,0,0,4,22,0,0,6,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,14,5,0,5,1,0,1,7,1,0,6,8,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,3,1,1,2,1,2,140,0,0,0,3,0,0,0,0,0,5,0,0
CHN,0,2,0,0,0,0,14,8,1,0,447,35,1,0,80,0,0,5,6,0,0,0,1,0,2,0,41,0,1,0,1,0,332,55,13,0,1,1,0,0,11,0,1,1,0,0,5,182,51,1,0,0,2,0,58,8,5,47,0,100,0,0,689,2,5,0,0,0,9,0,0,0,0,0,0,5,0,5,10,48,23,3,4,1,21,58,2,2,142,5,11,0,1,0,0,95,3,1,7,1,0,0,2,1,4,2,0,0,0,0,0,17,0,0,3,0,1,2,0,0,0,0,56,1,0,0,15,0,163,41,0,70,1,14,0,6,29,2,18,25,0,0,5,10,16,1,8,1,0,225,0,0,0,0,0,5,0,1,3,65,0,0,0,0,0,21,0,1,0,18,174,4,2,1,1,1972,0,0,0,5,9,0,0,0,0,41,0,2
CIV,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
CMR,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,7,1,1,1,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,9,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,3,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,15,0,0,0,0,1,0,0,0,0,7,1,1
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0
COL,0,0,0,0,0,0,0,19,0,0,13,5,0,0,16,0,0,0,6,0,0,0,0,0,0,0,33,0,0,0,1,0,14,7,19,11,1,0,0,0,0,0,2,0,0,0,2,14,3,0,0,12,1,0,106,2,2,0,1,19,0,0,36,1,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,3,4,0,4,0,6,17,0,2,13,0,4,0,0,0,0,2,1,0,7,0,0,0,1,0,1,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,12,3,0,11,1,3,0,11,4,0,2,9,0,0,0,7,1,0,0,1,0,2,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,3,0,0,0,2,1,1,0,0,1,101,0,0,0,5,2,0,0,0,0,9,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,10,2,1,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,1,0,0,4,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0
CUB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,13,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,1,0,0,0,0,0,0,2,11,2,0,0,1,0,0,3,0,0,2,0,4,0,0,53,0,0,0,0,0,33,0,0,0,0,0,0,1,0,1,0,1,6,2,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0,42,0,0,0,0,0,0,0,0,0,1,0,0
CZE,0,0,0,0,0,0,3,2,0,0,13,23,0,0,22,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,18,12,1,5,0,3,1,0,2,0,0,1,0,2,0,60,10,0,0,1,0,0,28,7,0,12,0,27,0,0,84,1,0,0,0,0,5,0,0,0,0,0,0,14,0,21,0,1,9,2,0,3,2,34,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,2,0,5,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,19,10,0,4,0,1,0,1,0,0,32,4,0,0,0,9,11,0,14,0,0,0,0,0,0,0,0,2,0,82,6,26,0,0,0,0,0,1,0,0,1,5,0,1,1,0,0,96,1,0,0,0,0,0,0,0,1,3,0,1
DEU,0,0,0,5,0,0,8,13,1,0,341,395,1,2,277,0,1,6,13,0,0,3,2,0,2,1,47,0,0,0,0,0,277,660,56,182,2,3,0,0,14,0,2,5,0,11,60,0,166,0,0,7,44,0,277,18,9,131,0,369,0,0,1312,1,3,0,0,0,55,0,0,2,0,0,0,18,0,49,13,73,56,15,2,5,93,382,1,30,79,6,9,0,1,0,0,50,1,2,7,0,0,3,2,0,8,59,10,2,1,0,0,23,4,0,7,1,1,0,0,0,0,1,15,1,0,2,8,0,689,126,1,54,1,9,0,3,9,1,77,56,0,0,3,44,48,1,48,2,1,51,0,0,0,0,0,12,0,8,24,243,0,0,1,0,0,5,1,2,4,47,18,8,4,11,5,1538,0,0,0,0,2,0,0,0,0,86,0,1
DNK,0,0,0,1,0,0,1,4,0,0,73,41,0,0,41,0,1,2,1,0,0,0,1,0,0,0,15,0,0,0,2,0,74,54,8,51,0,0,0,0,3,0,2,0,0,2,10,166,0,0,0,0,2,0,35,6,0,47,0,47,0,0,363,0,1,0,0,0,5,0,0,0,0,0,1,3,0,8,5,9,19,4,0,11,5,58,1,0,7,1,4,0,1,0,0,3,1,2,0,0,0,4,1,0,7,5,3,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,131,125,3,24,0,0,0,2,4,0,11,25,0,0,3,6,5,0,2,0,0,8,0,0,0,0,0,2,0,8,9,153,0,0,0,0,0,2,0,0,1,8,0,5,4,0,0,314,0,0,0,0,0,0,0,0,0,6,0,2
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
ECU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,12,0,1,0,0,1,1,7,0,0,0,0,0,0,32,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
EGY,0,0,0,0,0,0,8,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,27,0,2,0,0,0,0,1,0,0,0,0,0,0,44,2,0,0,0,0,0,5,0,0,2,0,7,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,0,30,5,0,1,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,0,1,1,2,0,0,0,0,0,0,0,0,2,2,0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,48,0,0,0,0,0,0,0,0,1,30,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,4,0,5,0,1,66,0,0,114,64,0,0,157,0,0,2,8,0,0,0,0,0,0,0,77,0,15,0,1,0,130,111,123,58,3,1,0,0,106,0,4,13,0,3,28,277,35,2,1,32,5,0,0,17,2,76,0,216,0,0,653,2,2,2,0,0,41,1,0,4,0,0,0,12,0,27,6,11,50,7,3,4,32,284,1,1,32,3,5,0,0,0,0,7,1,0,8,0,0,0,4,0,12,5,6,1,0,0,0,129,2,0,3,0,0,0,0,0,0,0,7,1,0,0,8,0,214,39,0,23,1,4,1,19,5,0,38,170,0,0,3,36,14,0,10,0,0,8,0,0,0,0,0,10,0,10,13,57,0,0,0,0,0,3,0,1,7,29,12,3,2,2,4,595,1,0,0,9,1,0,0,0,0,40,0,0
EST,0,0,0,0,0,0,0,3,0,0,9,11,0,0,17,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,8,4,8,0,0,0,0,2,0,0,0,0,0,7,18,6,0,0,0,0,0,17,0,2,28,0,17,0,0,54,1,0,0,0,0,3,0,0,0,0,0,0,6,0,9,0,0,13,1,0,1,7,13,0,1,2,0,0,0,0,0,0,4,1,0,1,0,0,0,1,0,10,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,19,6,0,3,1,1,0,1,1,0,7,11,0,0,0,9,5,0,0,0,0,1,0,0,0,0,0,2,0,3,9,19,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,32,0,0,0,0,1,0,0,0,0,1,0,0
ETH,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,6,1,3,5,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,2,2,0,2,0,5,0,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,8,4,1,0,1,0,0,0,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,8,7,0,0,31,0,0,0,0,1,0,0,0,1,12,2,6
FIN,0,0,0,1,0,0,3,5,0,0,69,26,0,0,56,0,1,1,3,0,0,0,0,0,0,0,6,0,0,0,2,0,56,57,3,47,0,0,0,0,0,0,0,1,0,2,12,131,47,0,0,0,2,0,76,28,2,0,0,43,0,0,289,0,1,0,0,0,17,0,0,0,0,0,0,6,0,13,2,8,21,4,0,4,9,75,0,1,11,1,2,0,0,0,0,7,0,0,1,0,0,3,0,0,8,5,3,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,7,1,0,0,1,0,102,54,0,24,0,1,0,1,0,0,21,17,0,0,0,3,15,0,2,0,0,3,0,0,0,0,0,3,0,6,8,148,0,0,0,0,0,2,0,0,0,6,6,2,0,2,0,248,0,0,0,1,1,0,0,0,0,28,3,1
FJI,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0
FRA,0,0,0,0,0,0,13,20,1,0,153,75,0,0,265,0,3,1,7,0,0,0,0,0,0,1,65,0,0,0,0,0,357,241,21,100,6,9,0,0,19,0,4,2,0,4,27,369,47,0,7,3,7,0,216,17,5,43,0,0,0,1,745,3,1,0,0,0,30,0,0,3,1,0,0,7,1,23,3,50,38,9,2,2,44,313,1,1,53,1,6,0,3,0,0,29,1,1,14,1,0,2,2,1,5,36,3,17,1,0,0,26,0,0,1,1,1,1,1,0,2,2,14,1,0,6,2,1,240,50,0,26,3,12,1,5,5,1,36,86,0,0,8,48,27,2,22,0,2,54,0,0,0,0,8,8,0,9,14,78,0,0,1,0,4,10,0,0,74,31,11,11,1,2,4,884,0,0,0,3,5,0,0,0,0,41,0,1
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,0,4,1,1,0,0,63,43,3,1,1486,200,0,0,573,0,1,26,26,3,0,4,1,1,5,4,133,3,2,0,7,0,941,551,67,689,3,6,0,1,36,0,10,3,0,53,84,1312,363,1,3,5,66,0,653,54,14,289,22,745,0,0,2830,15,21,0,1,1,208,1,0,4,0,2,1,38,2,91,22,246,413,33,19,23,136,759,8,43,167,8,36,1,5,0,0,109,3,4,27,1,2,1,13,0,14,27,10,2,0,3,0,56,3,0,27,2,2,1,1,1,4,11,123,6,0,2,24,1,1065,312,4,248,7,30,0,11,15,5,127,206,0,1,26,49,88,0,89,3,4,193,2,7,1,1,2,26,0,34,36,422,1,1,4,0,1,54,1,4,4,135,81,19,24,8,4,3786,0,0,0,1,19,0,1,0,0,327,7,13
GEO,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,3,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0
GHA,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,2,0,2,1,0,1,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,2,0,1,2,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,0,1,4,0,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,36,0,0,0,0,0,0,0,0,0,20,2,2
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
